id,count
00010fd3ee560483c21bb98e414741c7,"[2, 1, 4, 1, 1, 3, 0, 2, 1, 2, 2, 2, 1, 0, 2, 1, 2, 3, 1, 0, 0, 0, 3, 2, 0, 1, 3, 2, 2, 0, 3, 2, 1, 1, 0, 0, 1]"
0006da955dbe286a729ac6847ec22e6f,"[4, 2, 0, 3, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 2, 0, 1, 0, 2, 1, 0, 1, 2, 2, 1, 2, 3, 0, 1, 1, 1, 0, 0, 0, 0]"
00217e287463d24d9b0e8d20efa9e511,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
00520114b0a7f9d36eafa7e42f03196e,"[1, 0, 0, 0, 0, 0, 2, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2, 1, 2, 0, 1, 0, 1, 4, 2, 1, 2, 0, 0, 0]"
0059632c4bd2f573e9c2beed50983686,"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 1, 3, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0, 1, 1]"
0065b1d3f9e3bb2976157a5261a5769d,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
007c733edcc1bb5d03125cf15a69cf0d,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0084e9796d1d9d3bf006b99eef60caf9,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
008cfe50ad2a4cf9e906e2a9ab6be7e7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
00916b31b1977725b23e9dbd33ee94d4,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
009f6ff8341842a368d49689594434fa,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
